age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
58, Federal-gov,43302, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,72,-3,60, United-States, >50K
49, Private,54986, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,-10,0,40, United-States, <=50K
58, Private,329473, HS-grad,9, Married-civ-spouse, Sales, Wife, Black, Female,55,-1,44, United-States, >50K
23, Private,303746, Masters,14, Never-married, Prof-specialty, Not-in-family, Other, Male,-80,-4,40, ?, <=50K
69, Federal-gov,54772, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,29,4,40, United-States, >50K
53, Federal-gov,6817, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,-7,-1,40, China, <=50K
56, Private,125822, HS-grad,9, Married-civ-spouse, Sales, Husband, Asian-Pac-Islander, Male,3680,0,40, South, >50K
57, Private,192662, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,15,-2,33, United-States, <=50K
29, Private,223038, 5th-6th,5, Married-civ-spouse, Machine-op-inspct, Husband, Asian-Pac-Islander, Male,-54,1,40, Mexico, <=50K
52, ?,189195, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,8249,-1,40, United-States, >50K
19, Private,121754, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,-16,2,40, United-States, <=50K
53, Private,53303, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,97,-3,61, United-States, >50K
46, Private,230508, 7th-8th,5, Divorced, Tech-support, Unmarried, Black, Male,24,1,40, Cuba, >50K
19, ?,179929, 7th-8th,6, Never-married, ?, Own-child, White, Female,11,-2,40, United-States, <=50K
26, Local-gov,68719, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Female,29,-1,40, United-States, <=50K
43, Private,91593, 10th,7, Never-married, Other-service, Not-in-family, Black, Female,18,-2,40, United-States, <=50K
43, Private,41816, HS-grad,9, Divorced, Farming-fishing, Not-in-family, White, Male,-51,0,40, United-States, <=50K
32, State-gov,33566, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,-42,-1,38, United-States, <=50K
18, Local-gov,247505, Masters,14, Never-married, Prof-specialty, Not-in-family, Other, Male,-89,-4,40, ?, <=50K
24, Private,37833, HS-grad,6, Married-civ-spouse, Sales, Husband, White, Male,1,-1,40, United-States, <=50K
64, ?,62427, Assoc-acdm,12, Married-civ-spouse, ?, Husband, White, Male,-43,4,40, United-States, >50K
45, Federal-gov,104745, 11th,7, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male,4036,0,40, United-States, <=50K
47, Private,213771, 9th,4, Divorced, Adm-clerical, Unmarried, White, Male,-64,-1,40, Mexico, <=50K
44, Private,86484, 10th,11, Divorced, Craft-repair, Not-in-family, Black, Male,10,-1,40, United-States, <=50K
16, Never-worked,186657, 10th,8, Never-married, ?, Own-child, White, Male,-30,0,40, United-States, <=50K
48, Federal-gov,169106, Masters,11, Divorced, Prof-specialty, Not-in-family, White, Female,-7,1,40, United-States, <=50K
53, Private,20031, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,-22,1,40, United-States, <=50K
20, Private,40459, 11th,7, Never-married, Farming-fishing, Own-child, White, Female,-44,4,24, United-States, <=50K
37, Private,101078, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,-7,-1,40, United-States, <=50K
25, Private,68260, Some-college,10, Never-married, Sales, Unmarried, White, Male,19,0,40, United-States, <=50K
72, Private,87549, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,22,3,40, United-States, >50K
61, Private,66017, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,-13,0,40, United-States, <=50K
30, Private,290055, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Female,-20,0,40, United-States, <=50K
31, Private,62407, Prof-school,14, Never-married, Prof-specialty, Not-in-family, White, Female,15304,1,36, United-States, >50K
19, Private,118853, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Male,-2,1,40, Haiti, <=50K
20, Private,25001, 11th,7, Never-married, Farming-fishing, Own-child, Asian-Pac-Islander, Female,-70,5,25, United-States, <=50K
51, State-gov,149547, HS-grad,9, Separated, Adm-clerical, Not-in-family, Black, Male,31,1,40, United-States, <=50K
41, Private,121696, HS-grad,9, Married-civ-spouse, Tech-support, Husband, Asian-Pac-Islander, Male,4009,1,40, United-States, <=50K
32, Private,17784, Some-college,10, Divorced, Adm-clerical, Own-child, White, Female,-60,1,40, United-States, <=50K
24, Local-gov,459423, 12th,8, Never-married, Transport-moving, Not-in-family, White, Male,-70,1,40, United-States, <=50K
50, ?,151466, Bachelors,11, Married-civ-spouse, ?, Husband, White, Male,8162,-1,40, United-States, >50K
