age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
32, Private,242768, Assoc-voc,9, Never-married, Farming-fishing, Not-in-family, White, Female,3,0,35, Ireland, <=50K
56, ?,189009, Bachelors,13, Married-AF-spouse, ?, Wife, White, Female,7,1,18, United-States, <=50K
53, Federal-gov,40936, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,-7,1,22, United-States, <=50K
45, Private,284977, Masters,7, Married-spouse-absent, Craft-repair, Not-in-family, White, Male,-14,1,40, Cuba, <=50K
30, Private,260380, 9th,6, Never-married, Armed-Forces, Not-in-family, White, Male,13,1,40, United-States, <=50K
61, Self-emp-not-inc,55135, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,9,0,59, United-States, <=50K
31, Private,265320, 9th,4, Never-married, Handlers-cleaners, Not-in-family, White, Male,-1,1890,40, United-States, <=50K
17, Private,199301, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,-12,0,74, United-States, <=50K
36, Private,193632, Some-college,10, Never-married, Machine-op-inspct, Own-child, White, Male,-3,0,44, United-States, <=50K
73, Private,92126, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,27,2,14, United-States, >50K
67, Private,218393, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,1,40, United-States, <=50K
21, Private,186565, Assoc-voc,11, Never-married, Other-service, Not-in-family, White, Male,14,0,40, United-States, <=50K
67, Self-emp-not-inc,142239, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,-9,2228,104, United-States, >50K
29, Private,257782, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,14,1,25, United-States, >50K
33, Private,123746, Masters,14, Married-civ-spouse, Armed-Forces, Husband, White, Male,16,1,49, El-Salvador, <=50K
61, Private,251914, 7th-8th,4, Married-civ-spouse, Sales, Husband, White, Male,-2,0,21, United-States, <=50K
29, Private,186502, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,1,0,59, United-States, <=50K
65, Private,170770, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,7,0,40, United-States, >50K
30, State-gov,129010, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,-11,1,47, United-States, >50K
29, Private,282253, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,-26,0,14, United-States, <=50K
48, Private,160401, HS-grad,9, Married-spouse-absent, Craft-repair, Other-relative, White, Male,13,1,40, United-States, <=50K
36, Private,275350, 10th,5, Never-married, Machine-op-inspct, Unmarried, Other, Male,-11,1,40, Mexico, <=50K
67, ?,90851, Assoc-acdm,12, Widowed, ?, Not-in-family, White, Female,-4,0,30, United-States, <=50K
31, Private,172002, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Asian-Pac-Islander, Female,20,0,45, South, <=50K
26, Private,202898, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,8,0,60, United-States, <=50K
43, Private,177366, Assoc-voc,11, Never-married, Exec-managerial, Not-in-family, White, Female,17,1,46, United-States, <=50K
23, Private,124313, Some-college,10, Never-married, Tech-support, Not-in-family, White, Female,-9,0,30, United-States, <=50K
52, Self-emp-inc,194795, 5th-6th,3, Never-married, Sales, Other-relative, White, Male,10,1,23, United-States, >50K
30, Private,273285, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,-3,0,45, United-States, <=50K
28, Private,191792, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Female,23,1,40, Greece, >50K
31, Private,138803, 5th-6th,3, Married-civ-spouse, ?, Husband, Asian-Pac-Islander, Male,-36,0,23, China, <=50K
55, Self-emp-not-inc,130676, HS-grad,9, Never-married, Transport-moving, Own-child, Amer-Indian-Eskimo, Male,39,0,75, United-States, <=50K
32, Local-gov,56470, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,-16,0,60, United-States, <=50K
23, State-gov,222425, Some-college,10, Never-married, Tech-support, Own-child, White, Male,-30,0,40, United-States, <=50K
60, Private,187818, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,-10,0,40, Mexico, <=50K
33, Private,211777, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Other, Male,-18,1,27, United-States, >50K
18, State-gov,194057, 11th,7, Never-married, Protective-serv, Own-child, Black, Male,8,0,40, Jamaica, <=50K
57, Private,119620, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,15400,1,50, United-States, >50K
33, Private,172397, 10th,5, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,-11,1,56, India, <=50K
38, Private,178878, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,3,1,40, India, <=50K
33, Federal-gov,396018, Some-college,10, Never-married, Protective-serv, Not-in-family, White, Female,-14,0,40, United-States, <=50K
29, Private,229082, 11th,4, Married-civ-spouse, Sales, Wife, Other, Female,-18,1893,39, El-Salvador, <=50K
19, Self-emp-not-inc,315621, HS-grad,9, Never-married, Sales, Own-child, White, Male,-29,0,46, United-States, <=50K
38, Private,202938, 1st-4th,3, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Female,-21,0,31, Cuba, <=50K
