age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43, Local-gov,237632, Masters,14, Widowed, Adm-clerical, Not-in-family, Black, Female,-21,0,37, United-States, <=50K
36, Private,287914, 7th-8th,4, Divorced, Handlers-cleaners, Not-in-family, White, Male,38,1987,50, United-States, <=50K
34, Private,309373, Assoc-voc,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,10,-1,49, United-States, <=50K
45, Private,407529, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,-14,-1,49, United-States, <=50K
47, Private,408182, HS-grad,9, Married-civ-spouse, Other-service, Not-in-family, Black, Male,23,0,33, United-States, <=50K
22, Private,284481, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,38,0,36, Mexico, <=50K
32, Private,529516, 1st-4th,2, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,-5,-1,50, Mexico, <=50K
37, Private,300492, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,60,0,49, India, <=50K
48, Private,127867, Bachelors,13, Married-spouse-absent, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,30,0,49, Hungary, <=50K
43, ?,191887, Some-college,10, Never-married, ?, Not-in-family, White, Female,61,2,2, United-States, <=50K
56, Private,250420, HS-grad,9, Married-spouse-absent, Priv-house-serv, Not-in-family, Asian-Pac-Islander, Male,-47,1,25, Mexico, <=50K
50, Private,219951, Some-college,10, Married-spouse-absent, Adm-clerical, Not-in-family, White, Male,9,0,49, Mexico, <=50K
29, Private,221763, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, Black, Male,25,-1,49, France, <=50K
35, Private,408988, HS-grad,9, Married-AF-spouse, Adm-clerical, Other-relative, White, Female,-4,2110,23, United-States, <=50K
36, Private,189408, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,-5,0,50, United-States, <=50K
29, Private,312295, HS-grad,9, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,16,0,40, Canada, <=50K
34, Private,362159, HS-grad,9, Separated, Tech-support, Not-in-family, White, Male,-2,0,40, United-States, <=50K
50, Private,158222, Bachelors,13, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Male,42,0,50, Philippines, <=50K
27, Private,228625, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,29,0,50, United-States, <=50K
51, Private,408208, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,8156,0,50, United-States, >50K
22, Private,66933, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,-7,1,49, United-States, <=50K
47, Private,390004, HS-grad,9, Divorced, Transport-moving, Not-in-family, Black, Male,-3,0,17, Philippines, <=50K
40, Self-emp-not-inc,63151, Masters,14, Separated, Prof-specialty, Not-in-family, Black, Male,29,1,40, United-States, <=50K
29, Private,307013, HS-grad,9, Never-married, Craft-repair, Not-in-family, Asian-Pac-Islander, Male,3,0,49, Philippines, <=50K
27, Private,331784, Some-college,7, Married-spouse-absent, Tech-support, Not-in-family, White, Male,13,-1,48, United-States, <=50K
71, Private,302683, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,16,2,21, United-States, <=50K
45, Private,271738, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,8432,-1,50, Ireland, <=50K
53, Private,214423, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,8589,-1,50, Mexico, >50K
43, Private,264082, Some-college,9, Divorced, Other-service, Unmarried, White, Female,4,1,40, Outlying-US(Guam-USVI-etc), <=50K
71, Private,314662, HS-grad,9, Married-spouse-absent, Transport-moving, Not-in-family, White, Male,27,1,50, United-States, <=50K
46, Private,325561, Assoc-acdm,4, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,38,1,49, United-States, <=50K
28, Private,324260, 1st-4th,3, Never-married, Farming-fishing, Not-in-family, Other, Male,30,1,50, Dominican-Republic, <=50K
41, Federal-gov,260896, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,8509,0,50, United-States, >50K
43, Private,285254, Some-college,6, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,41,0,40, United-States, <=50K
52, Private,302915, 7th-8th,4, Divorced, Other-service, Not-in-family, White, Male,31,0,40, United-States, <=50K
50, Private,179974, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,22,0,49, United-States, <=50K
29, Private,287500, Some-college,10, Never-married, Adm-clerical, Not-in-family, Black, Female,7,0,40, United-States, <=50K
31, Self-emp-inc,357738, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,49,0,49, United-States, <=50K
44, Private,241798, 11th,7, Divorced, Other-service, Not-in-family, White, Female,-3,0,1, El-Salvador, <=50K
44, Private,217202, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,-13,1,49, United-States, <=50K
42, Private,452502, 1st-4th,3, Married-civ-spouse, Adm-clerical, Husband, White, Male,76,0,36, Italy, <=50K
25, Private,201003, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,8,2,50, United-States, <=50K
18, Private,157294, Assoc-voc,6, Never-married, Other-service, Not-in-family, Other, Female,0,-1,29, Ireland, <=50K
58, ?,232309, Preschool,2, Divorced, ?, Not-in-family, Other, Female,-1,-3,28, Iran, <=50K
46, ?,200310, Bachelors,13, Divorced, ?, Not-in-family, White, Female,24,2,32, United-States, <=50K
69, Private,232037, 5th-6th,3, Widowed, Adm-clerical, Not-in-family, White, Female,15,2,30, United-States, <=50K
47, Private,415661, Some-college,3, Married-civ-spouse, Craft-repair, Husband, White, Male,26,0,49, Mexico, <=50K
62, ?,290747, HS-grad,9, Divorced, ?, Not-in-family, Black, Male,20,0,15, United-States, <=50K
27, Private,313548, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Male,44,0,49, Mexico, <=50K
42, Private,247316, 11th,7, Divorced, Other-service, Not-in-family, White, Male,11,1,1, United-States, <=50K
44, ?,237463, 1st-4th,2, Married-spouse-absent, ?, Not-in-family, Amer-Indian-Eskimo, Male,-32,0,30, Iran, <=50K
58, Private,310304, 11th,5, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,15,0,49, United-States, <=50K
53, Private,219279, Masters,14, Divorced, Adm-clerical, Unmarried, White, Female,-4,0,50, Germany, <=50K
64, Private,165285, HS-grad,9, Widowed, Other-service, Not-in-family, White, Male,15,2,21, United-States, <=50K
52, Private,229778, Bachelors,13, Married-spouse-absent, Exec-managerial, Not-in-family, Black, Male,8364,2353,40, United-States, <=50K
37, State-gov,523966, Assoc-acdm,13, Never-married, Protective-serv, Not-in-family, White, Female,11,0,49, United-States, <=50K
48, State-gov,204046, 7th-8th,4, Married-civ-spouse, Transport-moving, Not-in-family, White, Male,34,1,40, United-States, <=50K
44, Private,200569, Masters,11, Divorced, Adm-clerical, Unmarried, Black, Female,-19,0,45, United-States, <=50K
36, Private,304822, 5th-6th,3, Married-civ-spouse, Exec-managerial, Husband, White, Male,3775,0,40, United-States, >50K
40, Private,319152, 10th,6, Never-married, Handlers-cleaners, Not-in-family, Black, Male,18,0,36, Jamaica, <=50K
25, Private,286415, Some-college,10, Never-married, Other-service, Not-in-family, White, Female,7,1,30, United-States, <=50K
51, Private,246877, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,11,0,49, United-States, <=50K
64, Private,314452, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,5,2,40, United-States, <=50K
41, Private,222204, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,-37,1,50, United-States, <=50K
20, Private,274782, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,8,1,50, Mexico, <=50K
